"";"Social";"Economico";"Ambiental";"Geral"
"Jaguari";0,566666666666667;0,316666666666667;0,516666666666667;0,466666666666667
"Rural Sul";0,59;0,2;0,61;0,466666666666667
"Turvo";0,563636363636364;0,318181818181818;0,463636363636364;0,448484848484848
