"";"Social";"Economico";"Ambiental";"Geral"
"3195077652";0,7;0;0,2;0,3
"3195075077";0,3;0,1;0,5;0,3
"3195066412";0,6;0,2;0,3;0,366666666666667
"3195059900";0,5;0;0,5;0,333333333333333
"3195053964";0,6;0,2;0,8;0,533333333333333
"3195048242";0,4;0;0,5;0,3
"3195044596";0,3;0,1;0,4;0,266666666666667
"3195038188";0,7;0,1;0,5;0,433333333333333
"3195032981";0,7;0,3;0,5;0,5
"3195032582";0,4;0;0,5;0,3
"3195026070";0,7;0;0,5;0,4
"3195025009";0,6;0,1;0,7;0,466666666666667
"3195018796";0,5;0;0,4;0,3
"3195017608";0,3;0;0,4;0,233333333333333
"3195010917";0,6;0,4;0,7;0,566666666666667
"3195006376";0,7;0,1;0,4;0,4
"3194995465";0,3;0,2;0,5;0,333333333333333
"3194993610";0,4;0,1;0,1;0,2
"3194985956";0,5;0,5;0,4;0,466666666666667
"3194981939";0,6;0,2;0,4;0,4
"3194979394";0,6;0;0,3;0,3
"3194976179";0,2;0,2;0,7;0,366666666666667
"3194975149";0,3;0;0,4;0,233333333333333
"3194965869";0,4;0,1;0,5;0,333333333333333
"3194964948";0,3;0,1;0,4;0,266666666666667
"3194957734";0,8;0,1;0,6;0,5
"3194944173";0,6;0,1;0,5;0,4
"3194936911";0,6;0,1;0,5;0,4
"3194917728";0,8;0;0,5;0,433333333333333
"3194916146";0,8;0,2;0,4;0,466666666666667
"3194907946";0,5;0,2;0,7;0,466666666666667
"3194906586";0,5;0;0,2;0,233333333333333
"3194905357";0,5;0,2;0,7;0,466666666666667
"3194900432";0,7;0,1;0,5;0,433333333333333
"3194900145";0,3;0,2;0,6;0,366666666666667
"3194899689";0,6;0;0,2;0,266666666666667
"3194898403";0,9;0,4;0,7;0,666666666666667
"3194893307";0,5;0,2;0,4;0,366666666666667
"3194893087";0,7;0;0;0,233333333333333
"3194888792";0,5;0;0,7;0,4
"3194888464";0,4;0,1;0,5;0,333333333333333
"3194881934";0,3;0;0;0,1
"3194881230";0,6;0,3;0,7;0,533333333333333
"3194879592";0,2;0,5;1;0,566666666666667
"3194874669";0,7;0;1;0,566666666666667
"3194869782";0,7;0,4;0,5;0,533333333333333
"3194866304";0,6;0,2;0,7;0,5
"3194866277";0,6;0;0,7;0,433333333333333
"3194859430";0,7;0,2;0,6;0,5
"3194854773";0,5;0;0;0,166666666666667
"3194852431";0,6;0,1;0,4;0,366666666666667
"3194851711";0,6;0;0,5;0,366666666666667
"3194849085";0,6;0,3;0,5;0,466666666666667
"3194848025";0,7;0,3;0,7;0,566666666666667
"3194844702";0,6;0;0,9;0,5
"3194843601";0,7;0,1;0,4;0,4
"3194838155";0,5;0,2;0,6;0,433333333333333
"3194835491";0,7;0;0,8;0,5
"3194835346";0,4;0,1;0,4;0,3
"3194835250";0,5;0,5;0,4;0,466666666666667
"3194831439";0,8;0,4;0,8;0,666666666666667
"3194826605";0,7;0,1;0,5;0,433333333333333
"3194824778";0,6;0,2;0,6;0,466666666666667
"3194821479";0,5;0,4;0,2;0,366666666666667
"3194817884";0,6;0,1;0,6;0,433333333333333
"3194816679";0,4;0,2;0,4;0,333333333333333
"3194811861";0,1;0;0;0,0333333333333333
"3194811527";0,8;0,5;0,6;0,633333333333333
"3194808823";0,7;0,4;0,6;0,566666666666667
"3194808188";0,3;0,3;0,4;0,333333333333333
"3194799744";0,8;0,2;0,7;0,566666666666667
"3194797216";0,6;0;0,2;0,266666666666667
"3194792314";0,7;0;0,8;0,5
"3194790626";0,6;0;0,5;0,366666666666667
"3194788386";0,6;0;0,4;0,333333333333333
"3194783774";0,3;0,4;0,6;0,433333333333333
"3194783374";0,8;0,1;0,8;0,566666666666667
"3194774874";0,5;0;0,7;0,4
"3194773376";0,5;0;0,4;0,3
"3194768049";0,7;0,4;0,7;0,6
"3194767987";0,5;0,2;0,4;0,366666666666667
"3194763925";0,5;0;0,6;0,366666666666667
"3194758339";0,3;0,1;0,1;0,166666666666667
"3194757686";0,9;0,6;0,6;0,7
"3194755608";0,7;0,4;0,5;0,533333333333333
"3194752976";0,4;0,3;0,5;0,4
"3194752660";0,6;0;0,5;0,366666666666667
"3194746374";0,6;0,2;0,4;0,4
"3194745766";0,7;0;0,7;0,466666666666667
"3194742010";0,6;0,6;0,8;0,666666666666667
"3194741267";0,7;0;0,6;0,433333333333333
"3194739829";0,2;0,1;0,2;0,166666666666667
"3194731415";0,5;0,2;0,8;0,5
"3194728847";0,5;0,2;0,4;0,366666666666667
"3194727837";0,5;0,2;0,8;0,5
"3194724702";0,8;0,6;0,5;0,633333333333333
"3194720576";0,5;0;0,5;0,333333333333333
"3194717890";0,7;0,1;0,6;0,466666666666667
"3194715932";0,5;0;0,5;0,333333333333333
"3194710356";0,6;0,3;0,9;0,6
"3194710038";0,5;0,1;0;0,2
"3194704345";0,5;0;0,5;0,333333333333333
"3194699906";0,7;0,1;0,5;0,433333333333333
"3194694895";0,8;0,6;0,8;0,733333333333333
"3194692122";0,7;0;0,2;0,3
"3194688149";0,4;0;0,5;0,3
"3194686326";0,7;0,4;0,8;0,633333333333333
"3194683944";0,6;0,1;0,4;0,366666666666667
